Crop,District,Office Name,PIN-code,Price,StateName,Vendor Name,Weight,id
Barley,BELAGAVI,Maradimath B.O,591231,406,Karnataka,Kabir,3,1299
Onions,MURSHIDABAD,Ganthla BO,742136,43.25,West Bengal,Kalaipuhal,1,1300
Masoor Dal,VADODARA,Tandalja BO,390012,97.75,Gujarat,Waameeka,1,1301
Carrots,NORTH 24 PARGANAS,Chhoygharia BO,743405,26.25,West Bengal,Aasmaa,0.5,1302
Rice,WEST MIDNAPORE,Janardanpur BO,721149,69,West Bengal,Dolika,1.5,1303
Spinach,BAGALKOT,Hirenasabi B.O,587114,26.75,Karnataka,Rohitha,0.5,1304
Capsicum,KHORDA,Sahaspur B.O,752031,150.5,Odisha,Abhinandan,2.5,1305
Corn,SUNDERGARH,Rouldega B.O,770074,569.5,Odisha,Prashasti,3,1306
Cucumbers,WEST CHAMPARAN,Damrapur BO,845451,20.75,Bihar,Bhagwan,0.5,1307
Potatoes,WEST SINGHBHUM,Surjabasa BO,833215,35.75,Jharkhand,Ananthitha,2,1308
Rajma,BELAGAVI,Nasalapur B.O,591213,338.5,Karnataka,Dhiman,2,1309
Strawberry,SINDHUDURG,Vilvade B.O,416511,202,Maharashtra,Lahirthana,0.5,1310
Oats,BANASKANTHA,Vada BO,385555,468,Gujarat,Nishaariha,3,1311
Garlic,BULANDSHAHR,Ahamedpur  Chauroli BO,203155,421.5,Uttar Pradesh,Variyas,1.5,1312
Sweet Potatoes,JANJGIRCHAMPA,Tundri BO,495695,122.75,Chattisgarh,Arman,1.5,1313
Grapes,BIJAPUR(KAR),Majre Sangapur B.O,586125,32.5,Karnataka,Anangana,0.5,1314
Tamarind,AZAMGARH,Lohara BO,223223,521.75,Uttar Pradesh,Janapriyan,3,1315
Carrots,KOZHIKODE,Poovattu Paramba BO,673008,131.5,Kerala,Dipashri,2.5,1316
Masoor Dal,KOLLAM,Chandanathope SO,691014,293.25,Kerala,Rituraaj,3,1317
Rice,KALABURAGI,Hagaratgi B.O,585237,92,Karnataka,Dyuthi,2,1318
Corn,AMRELI,Timbi SO,365730,95,Gujarat,Dayvan,0.5,1319
Onions,POONCH,Bedar Balnai BO,185102,21.5,Jammu and Kashmir,Baru,0.5,1320
Sweet Potatoes,SURENDRA NAGAR,Bakarthali BO,363040,245.25,Gujarat,Hanuaadharsh,3,1321
Garlic,KRISHNA,Cheruvu Madhavaram B.O,521229,140.5,Andhra Pradesh,Kani,0.5,1322
Rajma,KODERMA,Telaiya Dam SO,825413,84.5,Jharkhand,Tanaluxmy,0.5,1323
Wheat,BANKURA,Kumidya BO,722146,118.5,West Bengal,Rajena,3,1324
Potatoes,KOTA,Kota Jn. S.O,324002,53.5,Rajasthan,Januhasini,3,1325
Grapes,KAPURTHALA,Bhullarai BO,144402,32.5,Punjab,Neelabja,0.5,1326
Barley,JALNA,Babultara B.O,431501,406,Maharashtra,Nameela,3,1327
Strawberry,BIJNOR,Shahzadpur BO,246747,606.25,Uttar Pradesh,Vidhika,1.5,1328
Capsicum,KISHANGANJ,Poth RS BO,855117,90.25,Bihar,Vuthuran,1.5,1329
Oats,BELAGAVI,Ghataprabha SF B.O,591218,234,Karnataka,Drishnu,1.5,1330
Cucumbers,SHAHDARA,Rohtash Nagar SO,110032,124,Delhi,Tanvitha,3,1331
Spinach,BHONGIR,Pallipahad B.O,508117,80.25,Telangana,Sajibirunthan,1.5,1332
Potatoes,TIRUNELVELI,Poigai B.O,627862,9,Tamil Nadu,Nangitha,0.5,1333
Cucumbers,BALOD BAZER,Grasim Vihar Rawan SO,493196,103.5,Chattisgarh,Bavan,2.5,1334
Rajma,SOUTH 24 PARGANAS,Pathar Pratima SO,743371,423,West Bengal,Owshika,2.5,1335
Corn,NAWANSHAHR,Laroya BO,144507,284.75,Punjab,Nirma,1.5,1336
Tamarind,UDAIPUR,Godasar B.O,313026,434.75,Rajasthan,Pothraj,2.5,1337
Barley,JALANDHAR,Parasrampur BO,144101,67.75,Punjab,Chatima,0.5,1338
Onions,PALI,Pilowani B.O,306502,108,Rajasthan,Diyanath,2.5,1339
Sweet Potatoes,JEHANABAD,Jamanganj BO,804405,122.75,Bihar,Praphulla,1.5,1340
Wheat,VADODARA,Bangapura BO,391145,59.25,Gujarat,Dhurvika,1.5,1341
Capsicum,AHMEDABAD,Kabir Chowk SO,380005,90.25,Gujarat,Laarana,1.5,1342
Carrots,West Godavari,Velivela B.O,534250,131.5,Andhra Pradesh,Vibeeshanan,2.5,1343
Masoor Dal,JUNAGADH,Chanaka BO,362020,293.25,Gujarat,Vilashini,3,1344
Rice,DINDIGUL,Pundi BO,624103,92,Tamil Nadu,Danupriya,2,1345
Oats,BAHRAICH,Kundwa BO,271855,312,Uttar Pradesh,Nachia,2,1346
Spinach,KACHCHH,Padampar BO,370160,26.75,Gujarat,Bhaheetha,0.5,1347
Grapes,NAGAPATTINAM,Siddamalli B.O,609205,194.5,Tamil Nadu,Anandababu,3,1348
Garlic,TIRUVARUR,Kandodathavanitham B.O,610102,562,Tamil Nadu,Chandrahaas,2,1349
Strawberry,BEED,Pargaon Ghumra B.O,414204,202,Maharashtra,Dirsana,0.5,1350
Onions,KHANDWA,Bhagwanpura B.O,450051,108,Madhya Pradesh,Nishithini,2.5,1351
Strawberry,BELAGAVI,Avaradi B.O,591115,404.25,Karnataka,Lusha,1,1352
Grapes,FARRUKHABAD,Sikanderpur Khas BO,209505,162.25,Uttar Pradesh,Yenjal,2.5,1353
Capsicum,BHARATPUR,Aroda BO,321411,30,Rajasthan,Varshine,0.5,1354
Rice,JAGTIAL,Nerella S.O,505454,115.25,Telangana,Sugeerthan,2.5,1355
Tamarind,AZAMGARH,Lohara BO,223223,521.75,Uttar Pradesh,Nimithiya,3,1356
Carrots,SONBHADRA,Sundari BO,231212,26.25,Uttar Pradesh,Thushanthana,0.5,1357
Rajma,NEW DELHI,Nangal Dewat BO,110037,338.5,Delhi,Kaniamudhan,2,1358
Corn,BALLIA,RASRA HO,221712,474.75,Uttar Pradesh,Jitakrodha,2.5,1359
Masoor Dal,KENDUJHAR,Madhapur S.O,758001,244.5,Odisha,Rakan,2.5,1360
Sweet Potatoes,FATEHPUR,Rari Bujurg BO,212664,122.75,Uttar Pradesh,Rishikesavan,1.5,1361
Potatoes,ALIGARH,Basai Babas BO,204215,9,Uttar Pradesh,Saruyan,0.5,1362
Cucumbers,JALAUN,Aurekhi BO,285123,41.25,Uttar Pradesh,Thurvana,1,1363
Garlic,ALLAHABAD,Sonai BO,212301,843.25,Uttar Pradesh,Beatrix,3,1364
Oats,RAIGARH,Divil BO,402303,468,Maharashtra,Niruthie,3,1365
Barley,RANGAREDDY,Trimulgherry H.O,500015,338.5,Telangana,Khirushan,2.5,1366
Wheat,BENGALURU RURAL,Sakkaaregollahalli B.O,561204,19.75,Karnataka,Jevesh,0.5,1367
Spinach,BHARUCH,Saring BO,392220,26.75,Gujarat,Hridhima,0.5,1368
Capsicum,MAYURBHANJ,Badjod B.O,757029,150.5,Odisha,Jayadurga,2.5,1369
Garlic,ROHTAS,Muriyar BO,821301,702.5,Bihar,Thannila,2.5,1370
Spinach,SHRAWASTI,Laxmanpur Kothi BO,271803,53.5,Uttar Pradesh,Vairavel,1,1371
Grapes,VADODARA,Tandalja BO,390012,97.25,Gujarat,Tirishaanth,1.5,1372
Carrots,HOSHIARPUR,Naushera Pattan BO,144211,105.25,Punjab,Thuvaanika,2,1373
Strawberry,KANGRA,Trehal BO,176063,1212.5,Himachal Pradesh,Inbaa,3,1374
Barley,UDUPI,Kergal BO,576219,135.25,Karnataka,Hrishita,1,1375
Masoor Dal,AMBEDKAR NAGAR,Kar Misripur BO,224159,146.75,Uttar Pradesh,Anosa,1.5,1376
Rajma,BARABANKI,Safderganj SO,225412,84.5,Uttar Pradesh,Paventhan,0.5,1377
Rice,VIZIANAGARAM,Pappala Lingalavalasa B.O,535578,69,Andhra Pradesh,Gunakshi,1.5,1378
Oats,SAHARANPUR,Mangal Nagar SO,247001,234,Uttar Pradesh,Thiruchelvan,1.5,1379
Corn,SHIVPURI,Bamorkalan S.O,473585,474.75,Madhya Pradesh,Shreekar,2.5,1380
Tamarind,KOPPAL,Arhal B.O,583235,87,Karnataka,Upendra,0.5,1381
Potatoes,Warangal,Naikpalli B.O,506112,26.75,Telangana,Kalaikodi,1.5,1382
Wheat,SOUTH GOA,Quela B.O,403401,39.5,Goa,Rupal,1,1383
Onions,PATAN,Zilvana BO,384245,86.5,Gujarat,Presha,2,1384
Cucumbers,VELLORE,Chinnathottalam B.O,635813,103.5,Tamil Nadu,Mandar,2.5,1385
Sweet Potatoes,BHAGALPUR,Mahesakhore BO,813204,81.75,Bihar,Lajjita,1,1386
Rajma,Bijapur(CGH),Toynar B.O,494444,338.5,Chattisgarh,Darshaniya,2,1387
Garlic,BELAGAVI,Hirebellikatti B.O,591104,140.5,Karnataka,Abibarmy,0.5,1388
Grapes,CHITRADURGA,Neralahalli B.O,577529,97.25,Karnataka,Thaarmeehan,1.5,1389
Rice,KANYAKUMARI,Maniankuzhi B.O,629161,115.25,Tamil Nadu,Kausik,2.5,1390
Barley,KANYAKUMARI,Thengapattanam S.O,629173,270.75,Tamil Nadu,Veeran,2,1391
Capsicum,EAST SINGHBHUM,Kantasole BO,832104,60.25,Jharkhand,Pugazhozhi,1,1392
Spinach,MEERUT,Sathla BO,250402,26.75,Uttar Pradesh,Raishini,0.5,1393
Oats,RAIGARH,Pali SO RaigarhMH,410205,156,Maharashtra,Karunainathan,1,1394
Carrots,GAJAPATI,Engarsingi B.O,761212,52.75,Odisha,Yalamudhan,1,1395
Potatoes,BHILWARA,Barsani B.O,311204,53.5,Rajasthan,Nisalini,3,1396
Strawberry,MALAPPURAM,Poongode BO,679327,606.25,Kerala,Sharwin,1.5,1397
Cucumbers,SOLAN,Kabakalan BO,173229,20.75,Himachal Pradesh,Diyashini,0.5,1398
Tamarind,EAST CHAMPARAN,Kodarkat BO,845302,347.75,Bihar,Baalaamani,2,1399
Corn,JAIPUR,Yaarlipura BO,303903,95,Rajasthan,Parmindar,0.5,1400
Sweet Potatoes,MALKANGIRI,Tigal B.O,764045,81.75,Odisha,Neethmihan,1,1401
Masoor Dal,EAST GODAVARI,Kotipalli S.O,533306,293.25,Andhra Pradesh,Avijit,3,1402
Onions,PATHANAMTHITTA,Mampara BO,689711,64.75,Kerala,Prayaathi,1.5,1403
Wheat,SOUTH 24 PARGANAS,Benipur BO,743355,59.25,West Bengal,Sanajanan,1.5,1404
Barley,KALABURAGI,Chinamgera B.O,585265,406,Karnataka,Smit,3,1405
Cucumbers,JALPAIGURI,Chamurchi SO,735207,20.75,West Bengal,Iraavatii,0.5,1406
Spinach,SEONI,Gangai B.O,480886,134,Madhya Pradesh,Itishree,2.5,1407
Capsicum,SIDDHARTHNAGAR,Bewa Chauraha BO,272191,60.25,Uttar Pradesh,Raehana,1,1408
Onions,KENDUJHAR,Jharbeda B.O,758087,129.75,Odisha,Carter,3,1409
Garlic,MADURAI,Shanthi Nagar SO,625018,562,Tamil Nadu,Kajooban,2,1410
Tamarind,MEERUT,Pabli Khas BO,250110,521.75,Uttar Pradesh,Rogesh,3,1411
Grapes,AMRITSAR,Ramdass SO,143603,162.25,Punjab,Savit,2.5,1412
Strawberry,TINSUKIA,Chapakhowa S.O,786157,808.25,Assam,Kavithanjali,2,1413
Rice,CHITRADURGA,Suragondanahally B.O,577558,138.25,Karnataka,Avanithan,3,1414
Potatoes,BIJNOR,Islamabad BO,246762,44.75,Uttar Pradesh,Laarvikan,2.5,1415
Carrots,GARHWA,Pipri Kala BO,822128,158,Jharkhand,Animan,3,1416
Masoor Dal,GANJAM,Bhabandha B.O,761003,195.5,Odisha,Maandhata,2,1417
Oats,VADODARA,SRP Group I SO,390001,156,Gujarat,Jaidev,1,1418
Rajma,SHIVAMOGGA,Syduru B.O,577430,338.5,Karnataka,Siddid,2,1419
Wheat,BEGUSARAI,Chakbedulia BO,851128,79,Bihar,Gayarthana,2,1420
Corn,GUNTUR,Venkatayapalem B.O,522411,474.75,Andhra Pradesh,Anomisha,2.5,1421
Sweet Potatoes,JALANDHAR,Haripur Khalsa BO,144410,245.25,Punjab,Ramraj,3,1422
Potatoes,JHABUA,Morjhari B.O,457777,26.75,Madhya Pradesh,Ajenthen,1.5,1423
Capsicum,KHERI,Kusumi BO,261505,120.25,Uttar Pradesh,Sadhvi,2,1424
Tamarind,SIVAGANGA,Hanumanthagudi B.O,630303,174,Tamil Nadu,Nirubhisha,1,1425
Onions,VAISHALI,Laxmanpur BO,844122,108,Bihar,Arravind,2.5,1426
Masoor Dal,DAMOH,Tendukheda S.O,470880,244.5,Madhya Pradesh,Bharanithan,2.5,1427
Barley,DHAR,Khareli B.O,454111,338.5,Madhya Pradesh,Ivanjalin,2.5,1428
Cucumbers,BANSWARA,Chhoti Sarwa B.O,327801,62,Rajasthan,Lashani,1.5,1429
Rajma,NANDED,Takli B.O,431736,84.5,Maharashtra,Ritheshna,0.5,1430
Carrots,North Tripura,Lalcherra Colony B.O,799253,79,Tripura,Manjeera,1.5,1431
Spinach,BANKURA,Baricha BO,722151,160.75,West Bengal,Ilampoovan,3,1432
Garlic,RAJKOT,Mekha Timbi BO,360470,562,Gujarat,Harryshankar,2,1433
Sweet Potatoes,BAGALKOT,Hosapete  Kerur B.O,587206,81.75,Karnataka,Vanathi,1,1434
Wheat,BANASKANTHA,Jadia BO,385310,98.75,Gujarat,Aakshiga,2.5,1435
Strawberry,NEW DELHI,Nangal Dewat BO,110037,808.25,Delhi,Bithika,2,1436
Rice,SANGRUR,Lehragaga SO,148031,46,Punjab,Dhanisha,1,1437
Grapes,KANGRA,Sunhet BO,177104,64.75,Himachal Pradesh,Vikiyananthen,1,1438
Corn,Mandya,Malavalli S.O,571430,95,Karnataka,Aariyen,0.5,1439
Oats,Bijapur(CGH),Toynar B.O,494444,156,Chattisgarh,Dusmika,1,1440
Strawberry,ALIGARH,Korah Rustampur BO,202136,1212.5,Uttar Pradesh,Prakalpa,3,1441
Garlic,ALIGARH,Korah Rustampur BO,202136,843.25,Uttar Pradesh,Remthi,3,1442
Rajma,JHUJHUNU,Gadala Kalkan B.O,333053,338.5,Rajasthan,Hemisha,2,1443
Corn,BETUL,Selgaon B.O,460225,569.5,Madhya Pradesh,Kivashan,3,1444
Wheat,FARIDABAD,Anangpur BO,121003,79,Haryana,Lowgitha,2,1445
Potatoes,LAKHISARAI,S Khairma BO,811311,26.75,Bihar,Kalaiselven,1.5,1446
Barley,WEST GODAVARI,Sb Colony S.O,534007,338.5,Andhra Pradesh,Visisht,2.5,1447
Grapes,BENGALURU,Koramangala VI Bk S.O,560095,97.25,Karnataka,Sumantu,1.5,1448
Spinach,NALBARI,Kachukata B.O,781367,80.25,Assam,Krithikan,1.5,1449
Tamarind,MANCHERIAL,Lingapur B.O,504206,434.75,Telangana,Jiral,2.5,1450
Sweet Potatoes,BARDHAMAN,Boro Balaram BO,713124,204.5,West Bengal,Charuhasini,2.5,1451
Onions,Sangli,Rajapur B.O,416310,86.5,Maharashtra,Sairaghav,2,1452
Carrots,JANJGIRCHAMPA,Semaria BO,495661,79,Chattisgarh,Gaurikanth,1.5,1453
Rice,BULDHANA,Nipana B.O,443101,92,Maharashtra,Rujutha,2,1454
Cucumbers,VILLUPURAM,Pidaripattu BO,605651,41.25,Tamil Nadu,Nesar,1,1455
Masoor Dal,Chittoor,Rangasamudram B.O,517370,49,Andhra Pradesh,Madurai,0.5,1456
Oats,UJJAIN,Alot Jagir B.O,456221,234,Madhya Pradesh,Takalvan,1.5,1457
Capsicum,KOTA,Kakrawada B.O,325009,30,Rajasthan,Rudharshan,0.5,1458
Wheat,Bidar,Kadepur B.O,585327,79,Karnataka,Sasidaran,2,1459
Strawberry,LUCKNOW,Avas Vikas Colony SO Lucknow,226017,606.25,Uttar Pradesh,Jeyaraani,1.5,1460
Barley,JHALAWAR,Ranaira B.O,326515,338.5,Rajasthan,Rupitha,2.5,1461
Sweet Potatoes,SULTANPUR,Jamalpur Jajrahi BO,228141,204.5,Uttar Pradesh,Anojihan,2.5,1462
Rajma,INDORE,Todi B.O,453771,169.25,Madhya Pradesh,Honey,1,1463
Cucumbers,BALANGIR,Rigdol B.O,767033,62,Odisha,Illengeswara,1.5,1464
Grapes,SANT KABIR NAGAR,Dandwakala BO,272126,129.75,Uttar Pradesh,Yogeetha,2,1465
Corn,TIRUPPUR,Sundakkampalayam BO,638103,569.5,Tamil Nadu,Aroshani,3,1466
Garlic,East Khasi Hills,Mylliem Syllai U Lar B.O,793009,140.5,Megalaya,Dhanyitha,0.5,1467
Tamarind,CHITRADURGA,Pagadalabande B.O,577522,87,Karnataka,Aathani,0.5,1468
Oats,KANCHIPURAM,Thathalur BO,603109,312,Tamil Nadu,Rinushka,2,1469
Onions,BALLIA,Kurejee BO,277121,108,Uttar Pradesh,Dharshithan,2.5,1470
Carrots,AZAMGARH,Lilapatti Bankatia BO,276124,158,Uttar Pradesh,Vishvahetu,3,1471
Spinach,SIVAGANGA,Konthagai North BO,630612,26.75,Tamil Nadu,Kalita,0.5,1472
Masoor Dal,DAVANGERE,Kallahalli B.O,583213,293.25,Karnataka,Liroshan,3,1473
Rice,SATARA,Mandrul Haveli B.O,415205,92,Maharashtra,Abharana,2,1474
Potatoes,BHIND,Pulawali B.O,477331,53.5,Madhya Pradesh,Aasinthiya,3,1475
Capsicum,BOKARO,Penk BO,829112,30,Jharkhand,Sarit,0.5,1476
Wheat,NALGONDA,Oldabadi S.O,508001,39.5,Telangana,Chitradeep,1,1477
Grapes,HASSAN,Igoor B.O,573137,64.75,Karnataka,Iniyaazh,1,1478
Barley,CHHINDWARA,Dungaria B.O,480551,338.5,Madhya Pradesh,Inthushan,2.5,1479
Masoor Dal,WEST CHAMPARAN,Bettiah RS SO,845438,293.25,Bihar,Haezan,3,1480
Cucumbers,BHARATPUR,Jharauti B.O,321615,124,Rajasthan,Kalichandra,3,1481
Oats,KANNUR,Nedumpoil BO,670650,78,Kerala,Pathmaharan,0.5,1482
Tamarind,TINSUKIA,Tirap B.O,786182,87,Assam,Shartheeshan,0.5,1483
Sweet Potatoes,Sangli,Kerewadi B.O,416403,163.5,Maharashtra,Aavarthanan,2,1484
Capsicum,THRISSUR,Parappukkara SO,680310,180.5,Kerala,Thukksha,3,1485
Spinach,SRIKAKULAM,Korasavada S.O,532214,80.25,Andhra Pradesh,Niraana,1.5,1486
Rice,MANDLA,Bhusanda B.O,481884,23,Madhya Pradesh,Ujjam,0.5,1487
Rajma,MANDLA,Mandla H.O,481661,507.5,Madhya Pradesh,Rithikha,3,1488
Corn,PRAKASAM,Votlabailu B.O,523112,189.75,Andhra Pradesh,Daksatha,1,1489
Strawberry,COIMBATORE,Uthukuli Zamin S.O,642004,606.25,Tamil Nadu,Bratish,1.5,1490
Onions,PILIBHIT,Sunpahar BO,262302,43.25,Uttar Pradesh,Mithisha,1,1491
Garlic,REWARI,Boria Kamalpur BO,123401,843.25,Haryana,Sukhi,3,1492
Carrots,PUNE,Valha S.O,412305,158,Maharashtra,Aakar,3,1493
Potatoes,VIRUDHUNAGAR,Viswanatham BO,626189,26.75,Tamil Nadu,Varasan,1.5,1494
Corn,South Andaman,Beodnabad B.O,744105,284.75,Andaman and Nico.In.,Nirmalasri,1.5,1495
Cucumbers,SAMBALPUR,Sankarma B.O,768006,20.75,Odisha,Lavanaya,0.5,1496
Onions,BHIND,Pariksha B.O,477447,21.5,Madhya Pradesh,Rajinthan,0.5,1497
Strawberry,BELAGAVI,Tirth B.O,591304,202,Karnataka,Arputhan,0.5,1498
Sweet Potatoes,KARIMGANJ,Duttagram B.O,788722,204.5,Assam,Jayadeepram,2.5,1499
Potatoes,THANJAVUR,Aladikkumulai S.O,614615,35.75,Tamil Nadu,Rian,2,1500
Masoor Dal,SHIMLA,Janjheli BO,172024,146.75,Himachal Pradesh,Kaushala,1.5,1501
Rajma,BULDHANA,Shelgaon Atol B.O,443201,423,Maharashtra,Tridhara,2.5,1502
Grapes,AMETHI,Paharganj BO,227405,129.75,Uttar Pradesh,Pugazanthi,2,1503
Wheat,VISAKHAPATNAM,Varada B.O,531022,118.5,Andhra Pradesh,Sathvik,3,1504
Capsicum,BANKURA,Baricha BO,722151,60.25,West Bengal,Kartikeyan,1,1505
Tamarind,PALAMAU,Sagalim BO,822118,347.75,Jharkhand,Bhamathi,2,1506
Garlic,ANANTHNAG,Waghama BO,192124,421.5,Jammu and Kashmir,Roopashree,1.5,1507
Carrots,FAIZABAD,Rasoolpur Lilha BO,224153,26.25,Uttar Pradesh,Parvadhavarthni,0.5,1508
Rice,DEVBHOOMI DWERKA,Chhapar BO,361306,23,Gujarat,Samriti,0.5,1509
Oats,UDUPI,Bada BO,574117,78,Karnataka,Thulasithas,0.5,1510
Spinach,DUNGARPUR,Devpur B.O,314022,53.5,Rajasthan,Vishnusaran,1,1511
Barley,BEGUSARAI,Raghunandanpur BO,851133,338.5,Bihar,Navalan,2.5,1512
Onions,NELLORE,Katrayapadu B.O,524240,108,Andhra Pradesh,Thanvita,2.5,1513
Tamarind,REWA,Andwa B.O,486223,260.75,Madhya Pradesh,Chethna,1.5,1514
Cucumbers,BAGPAT,Ahera BO,250609,82.75,Uttar Pradesh,Mankur,2,1515
Sweet Potatoes,MAHABUB NAGAR,P.C.Kunta B.O,509409,41,Telangana,Vayshnave,0.5,1516
Rice,BARABANKI,Kaboolpur BO,225126,69,Uttar Pradesh,Sabareesh,1.5,1517
Potatoes,PALAKKAD,Kanhikulam BO,678596,44.75,Kerala,Nijanthini,2.5,1518
Masoor Dal,West Khasi Hills,Nongum B.O,793120,97.75,Megalaya,Srivaasagan,1,1519
Corn,TUTICORIN,Lingampatti B.O,628502,95,Tamil Nadu,Satinath,0.5,1520
Grapes,BETUL,Selgaon B.O,460225,162.25,Madhya Pradesh,Pirabalan,2.5,1521
Strawberry,MAYURBHANJ,Uparbeda B.O,757050,1010.5,Odisha,Vishnubharathi,2.5,1522
Carrots,Mandya,Chikkahebbagilu B.O,571463,105.25,Karnataka,Sumuhan,2,1523
Spinach,KAMRUP,Champaparabazar B.O,781136,26.75,Assam,Gajaen,0.5,1524
Wheat,MUKTSAR,Sammewali BO,152026,59.25,Punjab,Aariketh,1.5,1525
Oats,NIZAMABAD,Jannepalli S.O,503246,78,Telangana,Vallikkannan,0.5,1526
Garlic,VELLORE,Poigai Mottur B.O,632114,702.5,Tamil Nadu,Aasya,2.5,1527
Capsicum,JAJAPUR,Korei S.O,755022,30,Odisha,Arutkathir,0.5,1528
Rajma,KRISHNA,Neelipudi B.O,521324,84.5,Andhra Pradesh,Varathathevan,0.5,1529
Barley,BULANDSHAHR,Darora BO,203394,135.25,Uttar Pradesh,Karla,1,1530
Rice,DHULE,Junawane B.O,424311,23,Maharashtra,Aangiha,0.5,1531
Barley,KANGRA,Surarwan BO,176401,67.75,Himachal Pradesh,Pirabalini,0.5,1532
Cucumbers,Chamrajnagar,Hoogiam B.O,571444,20.75,Karnataka,Roobaesh,0.5,1533
Oats,BIRBHUM,Bagdowra BO,731204,156,West Bengal,Hemank,1,1534
Capsicum,THANE,Kasegaon B.O,421401,180.5,Maharashtra,Hitiksha,3,1535
Carrots,JHABUA,Rehanda B.O,457661,158,Madhya Pradesh,Adham,3,1536
Corn,KANPUR NAGAR,Raipur BO,209308,569.5,Uttar Pradesh,Gomati,3,1537
Sweet Potatoes,MANDLA,Suktara B.O,481998,81.75,Madhya Pradesh,Lavya,1,1538
Potatoes,Kolhapur,Kitawade B.O,416505,26.75,Maharashtra,Aswinharesh,1.5,1539
Tamarind,TIRUNELVELI,Poigai B.O,627862,521.75,Tamil Nadu,Pinakini,3,1540
Wheat,SONAPUR,Cherupali B.O,767023,19.75,Odisha,Narmila,0.5,1541
Strawberry,AGRA,Akola SO,283102,1212.5,Uttar Pradesh,Dusaa,3,1542
Garlic,KOZHIKODE,Iim Kozhikode Campus SO,673570,843.25,Kerala,Kubendran,3,1543
Grapes,DAKSHINA KANNADA,Loretto B.O,574211,194.5,Karnataka,Shajeeshane,3,1544
Onions,VADODARA,Surkheda BO,391165,64.75,Gujarat,Genishiya,1.5,1545
Masoor Dal,TIRUVARUR,Kandodathavanitham B.O,610102,146.75,Tamil Nadu,Subangeyen,1.5,1546
Rajma,MAHASAMUND,Arangi BO,493555,84.5,Chattisgarh,Eelaputhalvi,0.5,1547
Spinach,VISAKHAPATNAM,Ammulapalem B.O,531002,26.75,Andhra Pradesh,Vibushanan,0.5,1548
Onions,KANYAKUMARI,Maniankuzhi B.O,629161,129.75,Tamil Nadu,Katpaga,3,1549
Masoor Dal,WEST MIDNAPORE,Uttar Dumurkhola BO,721133,49,West Bengal,Aatmay,0.5,1550
Grapes,GHAZIPUR,Gaura BO,233304,64.75,Uttar Pradesh,Nidhisha,1,1551
Sweet Potatoes,HATHRAS,Barai Shahpur BO,204215,81.75,Uttar Pradesh,Hetarthi,1,1552
Potatoes,GOPALGANJ,Jignamath BO,841438,35.75,Bihar,Harrish,2,1553
Rajma,MATHURA,Ole BO,281122,338.5,Uttar Pradesh,Dundhabisvara,2,1554
Strawberry,PUDUKKOTTAI,Arputhapuram B.O,622506,606.25,Tamil Nadu,Anuga,1.5,1555
Oats,KRISHNA,Surepalli B.O,521213,234,Andhra Pradesh,Yonita,1.5,1556
Carrots,VALSAD,Ghadoi BO,396035,52.75,Gujarat,Bagira,1,1557
Garlic,JAUNPUR,Pesara BO,222142,702.5,Uttar Pradesh,Nagajothi,2.5,1558
Cucumbers,CHITTOOR,Nesanur B.O,517583,62,Andhra Pradesh,Nilaja,1.5,1559
Corn,YAMUNANAGAR,Bilaspur (Yamunanagar) S.O,135102,95,Haryana,Harsutha,0.5,1560
Barley,PITHORAGARH,Bhatigaon BO,262552,67.75,Uttarakhand,Mahipathi,0.5,1561
Capsicum,FARIDABAD,Hurithal BO,121103,60.25,Haryana,Habeeshan,1,1562
Tamarind,BARDHAMAN,Taltore BO,713336,521.75,West Bengal,Nirvash,3,1563
Wheat,NORTH WEST DELHI,GTB Nagar SO,110009,59.25,Delhi,Vimla,1.5,1564
Rice,SATARA,Shirdhon B.O,415501,23,Maharashtra,Nuthan,0.5,1565
Spinach,NADIA,Dhubinagadi BO,741137,107.25,West Bengal,Aariyas,2,1566
Carrots,ALLAHABAD,Bisauna BO,211012,26.25,Uttar Pradesh,Angoori,0.5,1567
Strawberry,KOLKATA,Kalagachia SO Kolkata,700063,1010.5,West Bengal,Vinaya,2.5,1568
Barley,GOALPARA,Damra S.O,783122,67.75,Assam,Imani,0.5,1569
Grapes,NORTH DINAJPUR,Subhashganj BO,733134,162.25,West Bengal,Kalainila,2.5,1570
Oats,JALOR,Punakkalan B.O,307803,78,Rajasthan,Ramaswamy,0.5,1571
Masoor Dal,GAYA,Amain BO,804425,49,Bihar,Mayukha,0.5,1572
Garlic,SOUTH 24 PARGANAS,Satghara Debipur BO,743395,562,West Bengal,Dhrishat,2,1573
Potatoes,TARN TARAN,Wan Tara Singh BO,143305,44.75,Punjab,Ashwan,2.5,1574
Rice,VALSAD,Zaroli BO,396105,138.25,Gujarat,Rathnika,3,1575
Spinach,BANKA,MANJIRA GOURIPUR,813202,80.25,Bihar,Illavaenil,1.5,1576
Cucumbers,SHAJAPUR,Ranibarod B.O,465223,124,Madhya Pradesh,Nandikhas,3,1577
Tamarind,PRATAPGARH,Sarai Madhai BO,230133,174,Uttar Pradesh,Deepamala,1,1578
Corn,KHEDA,Bamangam BO,388180,189.75,Gujarat,Siddhanta,1,1579
Sweet Potatoes,ANAND,Sundan BO,388305,122.75,Gujarat,Parimalar,1.5,1580
